epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,613.677,1.71896,2.60967,1.65909,0.38564,0.52404,0.32917,0.1868,0.86783,70.4623,0.87211,0.00332928,0.00332928,0.00332928
2,1175.48,1.54372,1.54098,1.47188,0.35383,0.5158,0.38899,0.22133,0.92562,78.2156,0.89618,0.00659665,0.00659665,0.00659665
3,1735.55,1.54646,1.55569,1.46624,0.38567,0.61142,0.4732,0.25816,0.89308,82.4646,0.88571,0.00979803,0.00979803,0.00979803
4,2294.82,1.56141,1.55983,1.48096,0.33552,0.59581,0.40741,0.23904,0.8728,58.2169,0.88354,0.009703,0.009703,0.009703
5,2853.72,1.52874,1.49181,1.4689,0.36519,0.64307,0.45202,0.2661,0.86788,67.8363,0.88155,0.009604,0.009604,0.009604
6,3412.68,1.50396,1.44082,1.46363,0.45567,0.63186,0.52516,0.30872,0.84772,75.7874,0.86289,0.009505,0.009505,0.009505
7,3971.55,1.48516,1.39029,1.44203,0.46353,0.63328,0.52601,0.31078,0.8361,69.5212,0.85595,0.009406,0.009406,0.009406
8,4530.38,1.47779,1.36495,1.4344,0.41343,0.61141,0.49729,0.30293,0.83383,72.8503,0.84806,0.009307,0.009307,0.009307
9,5088.96,1.45359,1.3111,1.42563,0.51776,0.55662,0.54175,0.32821,0.85994,82.367,0.88374,0.009208,0.009208,0.009208
10,5647.96,1.44369,1.28947,1.41558,0.52896,0.65213,0.5778,0.34813,0.82092,75.4324,0.84196,0.009109,0.009109,0.009109
11,6206.82,1.43621,1.27728,1.42213,0.46006,0.67159,0.58709,0.35523,0.83072,66.884,0.85728,0.00901,0.00901,0.00901
12,6765.61,1.42536,1.2559,1.40873,0.46019,0.67293,0.57921,0.35563,0.82887,66.3286,0.85093,0.008911,0.008911,0.008911
13,7324.33,1.41955,1.24282,1.40939,0.49262,0.64671,0.6059,0.37501,0.82843,76.8569,0.85164,0.008812,0.008812,0.008812
14,7883.06,1.39812,1.23233,1.39777,0.46977,0.67238,0.5915,0.37271,0.80798,71.9683,0.84145,0.008713,0.008713,0.008713
15,8441.82,1.39458,1.20506,1.38271,0.51388,0.63667,0.6017,0.36809,0.81247,75.2784,0.84107,0.008614,0.008614,0.008614
16,9000.98,1.39231,1.18814,1.39038,0.55396,0.687,0.64407,0.40777,0.80905,70.0802,0.83814,0.008515,0.008515,0.008515
17,9560.4,1.38457,1.17588,1.38119,0.51166,0.6452,0.61692,0.39123,0.80493,84.9045,0.83857,0.008416,0.008416,0.008416
18,10119.6,1.37642,1.15536,1.37455,0.57112,0.62697,0.66085,0.41861,0.79334,68.8859,0.81881,0.008317,0.008317,0.008317
19,10679.1,1.37198,1.14087,1.3695,0.47809,0.71915,0.62324,0.40495,0.78687,87.2935,0.80343,0.008218,0.008218,0.008218
20,11238.2,1.36171,1.14515,1.36025,0.55699,0.64401,0.65085,0.41046,0.78888,66.1476,0.81775,0.008119,0.008119,0.008119
21,11797.3,1.36263,1.13976,1.35604,0.52086,0.68697,0.6503,0.41978,0.78881,76.5534,0.81888,0.00802,0.00802,0.00802
22,12356.3,1.35093,1.11438,1.35614,0.50903,0.7308,0.65534,0.42435,0.77799,79.8532,0.79848,0.007921,0.007921,0.007921
23,12915.5,1.34099,1.10389,1.34428,0.50467,0.70405,0.646,0.41763,0.78272,84.0664,0.82269,0.007822,0.007822,0.007822
